,location,floor,title,price,age,area-m2,owner,room,seller,date
16,/konut-kiralik/istanbul-kadikoy-bostanci-emlakcidan-daire/detay/32387160,4. Kat,BOSTANCI\u0027DA AKTÜELDEN DENİZ MANZARALI ULTRA LÜKS 3+1 DAİRE,3.6,1,135,Emlakçıdan,3+1,Kurumsal,09.12.2018
17,/konut-kiralik/istanbul-atasehir-atasehir-ataturk-emlakcidan-daire/detay/32334744,21 ve üzeri,ATAŞEHİR ATA SİTESİ DENİZ ADALAR MANZARA EBEVENY BANYOLU 3+1,2.65,15,156,Emlakçıdan,3+1,Kurumsal,09.12.2018
18,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31994109,3. Kat,ETİLER KİRALIK BADUR SİTESİ 5+1 ÇATI DUBLEX,16,10,284,Emlakçıdan,5+1,Kurumsal,09.12.2018
19,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32352041,,SKYLAND\u0027DAN 1+1 KİRALIK DAİRE ORMAN GÜNCEL,3,0,98,Emlakçıdan,1+1,Kurumsal,29.11.2018
20,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32329741,,Besiktas Modern Eşyalı 4+1 Kiralık Daire (129),,,,,,Kurumsal,
21,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32253338,,Ulus Savoy Eşyalı Şehir Manzaralı 2+1 Kiralik Daire (194),,,,,,Kurumsal,
22,/konut-kiralik/istanbul-besiktas-bebek-emlakcidan-daire/detay/32351555,,Bebek'te Manzaralı Kiralık Yalı Dairesi,,,,,,Kurumsal,
23,/konut-kiralik/istanbul-fatih-seyyid-omer-emlakcidan-daire/detay/32388828,,BAŞVEKİL EMLAKTAN SEYİTÖMERDE KİRALIK 2+1 TEMİZ DAİRE Favorileri,,,,,,Kurumsal,
24,/konut-kiralik/istanbul-beylikduzu-adnan-kahveci-emlakcidan-daire/detay/32408618,,Beylikdüzü Beykent Osmanlı Caddesinde Sıfır 5+2 Dubleks,,,,,,Kurumsal,
25,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32371260,,YENİ ULUS SİTESİ'NDE HAVUZBAŞI KONUMDA FIRSAT DAİRE!,,,,,,Kurumsal,
26,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32372641,,Maslak Mashattan Modern Eşyalı 3+1 Kiralik Daire (97),,,,,,Kurumsal,
27,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32244173,,Maslak Mashattan 3+1 Kiralık Residence 15.Kat Manzara & Ankastre,,,,,,Kurumsal,
28,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32010746,,"MASHATTAN KIRALIK DAIRE, 4+1 GENIS MANZARALI RESIDENCE",,,,,,Kurumsal,
29,/konut-kiralik/istanbul-kadikoy-kozyatagi-emlakcidan-daire/detay/32383725,,KOZYATAĞI SIFIR 3+1 KOMBİ SPOTIŞIK KLİMA PANJUR ŞIKBANYOLU ŞIKMU,,,,,,Bireysel,
30,/konut-kiralik/istanbul-besiktas-levazim-emlakcidan-daire/detay/32381156,,ORTAKÖY SAKLIKENT SİTESİ'NDE KİRALIK DAİRE,,,,,,Kurumsal,
31,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32184521,,Maslak Mashattan Modern Eşyalı 3+1 Kiralik Daire (90),,,,,,Kurumsal,
32,/konut-kiralik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32361647,,Sarıyer maslak 1453 ağaoğlu 1+1 kıralık resıdence daıre vadı,,,,,,Bireysel,
33,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32307242,,NİŞANTAŞI 1+1 60 M2 FUUL MÖBLELİ LÜKS DAİRE,,,,,,Bireysel,
34,/konut-kiralik/istanbul-kadikoy-erenkoy-emlakcidan-daire/detay/32393967,,ERENKÖY SAHİLDE AKTÜEL'DEN 250 M2 DENİZ MANZARALI GÜVENLİKLİ 4+1,,,,,,Kurumsal,
35,/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32233989,,"ULUS'TA FULL AKTİVİTELİ LÜKS SİTEDE, MOBİLYALI 4+1 ŞIK DAİRE",,,,,,Bireysel,
36,/konut-kiralik/istanbul-kadikoy-bostanci-emlakcidan-daire/detay/32387160,,BOSTANCI'DA AKTÜELDEN DENİZ MANZARALI ULTRA LÜKS 3+1 DAİRE,,,,,,Kurumsal,
37,/konut-kiralik/istanbul-atasehir-atasehir-ataturk-emlakcidan-daire/detay/32334744,,ATAŞEHİR ATA SİTESİ DENİZ ADALAR MANZARA EBEVENY BANYOLU 3+1,,,,,,Kurumsal,
38,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31994109,,ETİLER KİRALIK BADUR SİTESİ 5+1 ÇATI DUBLEX,,,,,,Kurumsal,
39,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32352041,,SKYLAND'DAN 1+1 KİRALIK DAİRE ORMAN GÜNCEL,,,,,,Kurumsal,
40,/konut-kiralik/istanbul-cekmekoy-merkez-emlakcidan-daire/detay/31638777,3. Kat,RAPSODİ EVLERİ KİRALIK 4+1 DUBLEKS DAİRE..TEK YETKİLİ ÖZLEM AKSU,5.35,10,245,Emlakçıdan,4+1,Kurumsal,09.12.2018
41,/konut-kiralik/istanbul-beykoz-anadolu-hisari-emlakcidan-daire/detay/32143102,Bahçe Katı,Beykoz Anadoluhisarı Yeni Sitede Kiralık Sıfır SON Bahçe Dubleks,10,4,300,Emlakçıdan,5+1,Kurumsal,09.12.2018
42,/konut-kiralik/istanbul-besiktas-akat-emlakcidan-daire/detay/31373451,4. Kat,AKATLAR\u0027DA 165M2 MÜKEMMEL MOBİLYALI DAİRE,6.5,25,165,Emlakçıdan,3+1,Kurumsal,09.12.2018
43,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32320546,5. Kat,MAÇKADA KİRALIK DENİZ MANZARALI 4+1 DAİRE,16,35,250,Emlakçıdan,4+1,Kurumsal,09.12.2018
44,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32392978,3. Kat,Şişli Teşvikiye Mahallesinde Kiralık Daire,5.5,7,55,Emlakçıdan,1+0,Bireysel,09.12.2018
45,/konut-kiralik/istanbul-esenyurt-battalgazi-emlakcidan-daire/detay/32348510,Bahçe Katı,Esenyurt Da Her bütçeye uygun şirin kiralık daire 2+1,550,0,90,Emlakçıdan,2+1,Kurumsal,09.12.2018
46,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32374299,4. Kat,ETİLER KİRALIK BADUR SİTESİ 5+1 ÇATI DUBLEX,16,10,284,Emlakçıdan,5+1,Kurumsal,09.12.2018
47,/konut-kiralik/istanbul-kadikoy-bostanci-sahibinden-daire/detay/27288695,3. Kat,BOSTANCI\u0027DA SAHİBİNDEN KİRALIK DAİRE,3.5,20,170,Sahibinden,4+1,Bireysel,09.12.2018
48,/konut-kiralik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32392793,2. Kat,NAR\u0027DAN SUADİYE BAĞDAT\u0027A 5.BİNADA 230 M2 ÖZEL DEKORLU ,4.5,25,230,Emlakçıdan,4+1,Bireysel,09.12.2018
49,/konut-kiralik/istanbul-sariyer-yenikoy-emlakcidan-daire/detay/32361570,2. Kat,YENİKÖY DE SİTEDE GÜZEL DENİZ MANZARALI ÇOK ÖZEL 3+1 LUX DAİRE ,11,25,220,Emlakçıdan,3+1,Kurumsal,09.12.2018
50,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31993684,3. Kat,ETİLER KİRALIK BADUR SİTESİNDE 4+1 DAİRE,10,10,184,Emlakçıdan,4+1,Kurumsal,09.12.2018
51,/konut-kiralik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32026988,2. Kat,ORTAKÖY KİRALIK MOBİLYALI ARKHEON SİTESİNDE 4+1 DAİRE,10.5,20,210,Emlakçıdan,4+1,Kurumsal,09.12.2018
52,/konut-kiralik/istanbul-sisli-merkez-emlakcidan-daire/detay/32254964,6. Kat,Levent Levent Loft Modern Eşyalı 1+1 Kiralik Daire (181),9.45,11,104,Emlakçıdan,1+1,Kurumsal,09.12.2018
53,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32158992,Bahçe Katı,ETİLER KİRALIK BADUR SİTESİNDE 5+1 BAHÇE DUBLEX,15,10,284,Emlakçıdan,5+1,Kurumsal,09.12.2018
54,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32124624,2. Kat,ETİLER KİRALIK ALKENT YAKINI TEMİZ KOMBİLİ 3+1,3.7,30,125,Emlakçıdan,3+1,Kurumsal,09.12.2018
55,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32089569,2. Kat,Sisli Yeni Eşyalı Manzarali 2+1 Kiralik Daire (179),12,48,150,Emlakçıdan,2+1,Kurumsal,09.12.2018
56,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32038193,5. Kat,Şişli Teşvikiye Mahallesinde 2+1 Kiralık Daire,10,4,75,Emlakçıdan,2+1,Bireysel,09.12.2018
57,/konut-kiralik/istanbul-bakirkoy-atakoy-7-8-9/detay/31972419,3. Kat,ATAKÖY 9.KISIM YUNUS EMRE SİTESİ\u0027NDE 3+1 MASRAFSIZ DAİRE,2.95,30,120,Emlakçıdan,3+1,Bireysel,09.12.2018
58,/konut-kiralik/istanbul-kadikoy-goztepe-sahibinden-daire/detay/27186746,2. Kat,SAHİBİNDEN BAĞDAT CADDESİNE VE TREN İSTASYONUNA YAKIN 4+1,3.25,17,180,Sahibinden,4+1,Bireysel,09.12.2018
59,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/19614468,3. Kat,ABACI\u0027dan ,3.45,25,120,Emlakçıdan,3+1,Kurumsal,09.12.2018
60,/konut-kiralik/istanbul-cekmekoy-merkez-emlakcidan-daire/detay/31638777,,RAPSODİ EVLERİ KİRALIK 4+1 DUBLEKS DAİRE..TEK YETKİLİ ÖZLEM AKSU,,,,,,Kurumsal,
61,/konut-kiralik/istanbul-beykoz-anadolu-hisari-emlakcidan-daire/detay/32143102,,Beykoz Anadoluhisarı Yeni Sitede Kiralık Sıfır SON Bahçe Dubleks,,,,,,Kurumsal,
62,/konut-kiralik/istanbul-besiktas-akat-emlakcidan-daire/detay/31373451,,AKATLAR'DA 165M2 MÜKEMMEL MOBİLYALI DAİRE,,,,,,Kurumsal,
63,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32320546,,MAÇKADA KİRALIK DENİZ MANZARALI 4+1 DAİRE,,,,,,Kurumsal,
64,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32392978,,Şişli Teşvikiye Mahallesinde Kiralık Daire,,,,,,Bireysel,
65,/konut-kiralik/istanbul-esenyurt-battalgazi-emlakcidan-daire/detay/32348510,,Esenyurt Da Her bütçeye uygun şirin kiralık daire 2+1,,,,,,Kurumsal,
66,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32374299,,ETİLER KİRALIK BADUR SİTESİ 5+1 ÇATI DUBLEX,,,,,,Kurumsal,
67,/konut-kiralik/istanbul-kadikoy-bostanci-sahibinden-daire/detay/27288695,,BOSTANCI'DA SAHİBİNDEN KİRALIK DAİRE,,,,,,Bireysel,
68,/konut-kiralik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32392793,,NAR'DAN SUADİYE BAĞDAT'A 5.BİNADA 230 M2 ÖZEL DEKORLU ,,,,,,Bireysel,
69,/konut-kiralik/istanbul-sariyer-yenikoy-emlakcidan-daire/detay/32361570,,YENİKÖY DE SİTEDE GÜZEL DENİZ MANZARALI ÇOK ÖZEL 3+1 LUX DAİRE ,,,,,,Kurumsal,
70,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31993684,,ETİLER KİRALIK BADUR SİTESİNDE 4+1 DAİRE,,,,,,Kurumsal,
71,/konut-kiralik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32026988,,ORTAKÖY KİRALIK MOBİLYALI ARKHEON SİTESİNDE 4+1 DAİRE,,,,,,Kurumsal,
72,/konut-kiralik/istanbul-sisli-merkez-emlakcidan-daire/detay/32254964,,Levent Levent Loft Modern Eşyalı 1+1 Kiralik Daire (181),,,,,,Kurumsal,
73,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32158992,,ETİLER KİRALIK BADUR SİTESİNDE 5+1 BAHÇE DUBLEX,,,,,,Kurumsal,
74,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32124624,,ETİLER KİRALIK ALKENT YAKINI TEMİZ KOMBİLİ 3+1,,,,,,Kurumsal,
75,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32089569,,Sisli Yeni Eşyalı Manzarali 2+1 Kiralik Daire (179),,,,,,Kurumsal,
76,/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32038193,,Şişli Teşvikiye Mahallesinde 2+1 Kiralık Daire,,,,,,Bireysel,
77,/konut-kiralik/istanbul-bakirkoy-atakoy-7-8-9/detay/31972419,,ATAKÖY 9.KISIM YUNUS EMRE SİTESİ'NDE 3+1 MASRAFSIZ DAİRE,,,,,,Bireysel,
78,/konut-kiralik/istanbul-kadikoy-goztepe-sahibinden-daire/detay/27186746,,SAHİBİNDEN BAĞDAT CADDESİNE VE TREN İSTASYONUNA YAKIN 4+1,,,,,,Bireysel,
79,/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/19614468,,ABACI'dan ,,,,,,Kurumsal,
80,/konut-kiralik/istanbul-besiktas-levazim-emlakcidan-daire/detay/32325224,1. Kat,LEVAZIM  SİTEDE  KİRALIK 4+1 YENİLENMİŞ DAİRE,6.5,25,190,Emlakçıdan,4+1,Kurumsal,09.12.2018
81,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32350322,, MASLAK SKYLAND\u0027DA 1+1 KİRALIK DAİRE ORMAN GÜNCEL,3,0,98,Emlakçıdan,1+1,Kurumsal,29.11.2018
82,/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32360160,Ara Kat,ARTIDAN FLORYADA KİRALIK HAVUZLU 4+1 ARA KAT,6.5,18,250,Emlakçıdan,4+1,Kurumsal,01.12.2018
83,/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32337642,3. Kat,Göktürk Turyap\u0027tan Mesa Yankı Evleri Sit. 2+1 105 m2 Daire,3.55,10,105,Emlakçıdan,2+1,Kurumsal,09.12.2018
84,/konut-kiralik/istanbul-bakirkoy-cevizlik-emlakcidan-daire/detay/32265149,1. Kat,BAKIRKÖY CARAUSEL YANI 2+1 YAPILI DAİRE ,1.75,30,85,Emlakçıdan,2+1,Bireysel,09.12.2018
85,/konut-kiralik/istanbul-bakirkoy-zeytinlik-emlakcidan-daire/detay/9211663,1. Kat,"BAKIRKÖY\u0027DE  SÜPER TADİLATLI,JAKUZİLİ,1+1 marmaray durağında ",1.7,35,80,Emlakçıdan,1+1,Bireysel,09.12.2018
86,/konut-kiralik/istanbul-besiktas-levent-emlakcidan-daire/detay/32328087,4. Kat,"Levent Plazalar Bölgesinde 125 m2, 3+1, Eşyalı. ",5,35,125,Emlakçıdan,3+1,Kurumsal,09.12.2018
87,/konut-kiralik/istanbul-kadikoy-zuhtupasa-sahibinden-daire/detay/32118487,Zemin,Sahibinden Ziverbey(Kadıköy)\u0027de 2+1 kiralık daire,1.6,25,100,Sahibinden,2+1,Bireysel,09.12.2018
88,/konut-kiralik/istanbul-sariyer-istinye-emlakcidan-daire/detay/32109730,2. Kat,İstinye muhayyeş korusunda manzaralı bahçeli mobilyalı daire,16,25,190,Emlakçıdan,4+1,Kurumsal,09.12.2018
89,/konut-kiralik/istanbul-esenyurt-piri-reis-emlakcidan-daire/detay/32330895,Bahçe Katı,ESENYURT  PİRİ REİS MH SIFIR 3+1 UYGUN FIYATA KIRALIK DAİRE,1.3,0,110,Emlakçıdan,3+1,Kurumsal,08.12.2018
90,/konut-kiralik/istanbul-besiktas-gayrettepe-emlakcidan-daire/detay/32104267,8. Kat,Besiktas Selenium Panorama Yeni Eşyalı 1+1 Kiralik Daire (116),4.85,9,87,Emlakçıdan,1+1,Kurumsal,09.12.2018
91,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32351822,21 ve üzeri,MASLAK SKYLAND\u0027DA 1+1 KİRALIK DAİRE 98M2 ORMAN GÜNCEL,3,0,98,Emlakçıdan,1+1,Kurumsal,29.11.2018
92,/konut-kiralik/istanbul-sancaktepe-veysel-karani-emlakcidan-daire/detay/32197609,1. Kat,SİMYA DAN AYDOS COUNTRY DE 1+1 KİRALIK PEYZAJ MANZARALI DAİRE,1.2,0,70,Emlakçıdan,1+1,Kurumsal,07.11.2018
93,/konut-kiralik/istanbul-bahcelievler-bahcelievler-emlakcidan-daire/detay/32409707,9. Kat,Bahçelievler Onur Sitesi\u0027nde 2+1 Bakımlı Kiralık Daire,1.55,32,80,Emlakçıdan,2+1,Kurumsal,09.12.2018
94,/konut-kiralik/istanbul-esenyurt-barbaros-hayrettin-pasa-emlakcidan-daire/detay/32410454,6. Kat,Beylikdüzü İSKİ Yanında 3+1 Özel Tadilatlı Lüx Daire...,1.5,10,160,Emlakçıdan,3+1,Kurumsal,09.12.2018
95,/konut-kiralik/istanbul-atasehir-atasehir-ferhat-pasa-emlakcidan-daire/detay/32409465,1. Kat,"ATAŞEHİR,FERHAT PAŞA MH.\u0027DE,2+1, 100 M2,KİRALIK DAİRE, ARTUM\u0027DAN",1,15,110,Emlakçıdan,2+1,Kurumsal,09.12.2018
96,/konut-kiralik/istanbul-kagithane-ortabayir-emlakcidan-daire/detay/32393752,3. Kat,ORTABAYIR DA CADDEYE YAKIN 3+1 90M2 SIFIR DUBLEX DAİRE ,2.2,2,100,Emlakçıdan,3+1,Kurumsal,09.12.2018
97,/konut-kiralik/istanbul-kartal-atalar-emlakcidan-daire/detay/32409999,1. Kat,kartal kiralık daire atalarda komple yenilenmiş ara kat lüx 3+1 ,1.45,26,110,Emlakçıdan,3+1,Kurumsal,09.12.2018
98,/konut-kiralik/istanbul-kagithane-seyrantepe-emlakcidan-daire/detay/32409240,2. Kat,SIFIR CADDE ÜZERİ BALOKNLU 2+1 1500TL UYGUN !SIFIR METRO 1 KM,1.55,0,85,Emlakçıdan,2+1,Kurumsal,09.12.2018
99,/konut-kiralik/istanbul-uskudar-bulgurlu-emlakcidan-daire/detay/32410187,3. Kat,Bulgurlu Metro\u0027ya 4 dk.Mesafede Geniş Ferah Daire 3+1,1.3,10,120,Emlakçıdan,3+1,Kurumsal,09.12.2018
100,/konut-kiralik/istanbul-besiktas-levazim-emlakcidan-daire/detay/32325224,,LEVAZIM  SİTEDE  KİRALIK 4+1 YENİLENMİŞ DAİRE,,,,,,Kurumsal,
101,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32350322,, MASLAK SKYLAND'DA 1+1 KİRALIK DAİRE ORMAN GÜNCEL,,,,,,Kurumsal,
102,/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32360160,,ARTIDAN FLORYADA KİRALIK HAVUZLU 4+1 ARA KAT,,,,,,Kurumsal,
103,/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32337642,,Göktürk Turyap'tan Mesa Yankı Evleri Sit. 2+1 105 m2 Daire,,,,,,Kurumsal,
104,/konut-kiralik/istanbul-bakirkoy-cevizlik-emlakcidan-daire/detay/32265149,,BAKIRKÖY CARAUSEL YANI 2+1 YAPILI DAİRE ,,,,,,Bireysel,
105,/konut-kiralik/istanbul-bakirkoy-zeytinlik-emlakcidan-daire/detay/9211663,,"BAKIRKÖY'DE  SÜPER TADİLATLI,JAKUZİLİ,1+1 marmaray durağında ",,,,,,Bireysel,
106,/konut-kiralik/istanbul-besiktas-levent-emlakcidan-daire/detay/32328087,,"Levent Plazalar Bölgesinde 125 m2, 3+1, Eşyalı. ",,,,,,Kurumsal,
107,/konut-kiralik/istanbul-kadikoy-zuhtupasa-sahibinden-daire/detay/32118487,,Sahibinden Ziverbey(Kadıköy)'de 2+1 kiralık daire,,,,,,Bireysel,
108,/konut-kiralik/istanbul-sariyer-istinye-emlakcidan-daire/detay/32109730,,İstinye muhayyeş korusunda manzaralı bahçeli mobilyalı daire,,,,,,Kurumsal,
109,/konut-kiralik/istanbul-esenyurt-piri-reis-emlakcidan-daire/detay/32330895,,ESENYURT  PİRİ REİS MH SIFIR 3+1 UYGUN FIYATA KIRALIK DAİRE,,,,,,Kurumsal,
110,/konut-kiralik/istanbul-besiktas-gayrettepe-emlakcidan-daire/detay/32104267,,Besiktas Selenium Panorama Yeni Eşyalı 1+1 Kiralik Daire (116),,,,,,Kurumsal,
111,/konut-kiralik/istanbul-sariyer-huzur-emlakcidan-daire/detay/32351822,,MASLAK SKYLAND'DA 1+1 KİRALIK DAİRE 98M2 ORMAN GÜNCEL,,,,,,Kurumsal,
112,/konut-kiralik/istanbul-sancaktepe-veysel-karani-emlakcidan-daire/detay/32197609,,SİMYA DAN AYDOS COUNTRY DE 1+1 KİRALIK PEYZAJ MANZARALI DAİRE,,,,,,Kurumsal,
113,/konut-kiralik/istanbul-bahcelievler-bahcelievler-emlakcidan-daire/detay/32409707,,Bahçelievler Onur Sitesi'nde 2+1 Bakımlı Kiralık Daire,,,,,,Kurumsal,
114,/konut-kiralik/istanbul-esenyurt-barbaros-hayrettin-pasa-emlakcidan-daire/detay/32410454,,Beylikdüzü İSKİ Yanında 3+1 Özel Tadilatlı Lüx Daire...,,,,,,Kurumsal,
115,/konut-kiralik/istanbul-atasehir-atasehir-ferhat-pasa-emlakcidan-daire/detay/32409465,,"ATAŞEHİR,FERHAT PAŞA MH.'DE,2+1, 100 M2,KİRALIK DAİRE, ARTUM'DAN",,,,,,Kurumsal,
116,/konut-kiralik/istanbul-kagithane-ortabayir-emlakcidan-daire/detay/32393752,,ORTABAYIR DA CADDEYE YAKIN 3+1 90M2 SIFIR DUBLEX DAİRE ,,,,,,Kurumsal,
117,/konut-kiralik/istanbul-kartal-atalar-emlakcidan-daire/detay/32409999,,kartal kiralık daire atalarda komple yenilenmiş ara kat lüx 3+1 ,,,,,,Kurumsal,
118,/konut-kiralik/istanbul-kagithane-seyrantepe-emlakcidan-daire/detay/32409240,,SIFIR CADDE ÜZERİ BALOKNLU 2+1 1500TL UYGUN !SIFIR METRO 1 KM,,,,,,Kurumsal,
119,/konut-kiralik/istanbul-uskudar-bulgurlu-emlakcidan-daire/detay/32410187,,Bulgurlu Metro'ya 4 dk.Mesafede Geniş Ferah Daire 3+1,,,,,,Kurumsal,
120,/konut-kiralik/istanbul-arnavutkoy-deliklikaya-emlakcidan-daire/detay/32409447,4. Kat,KİPTAŞ 3. ETP KOUTLARINDA KİRALIK SATILIK DAİRELER,500,2,84,Emlakçıdan,2+1,Bireysel,09.12.2018
121,/konut-kiralik/istanbul-kartal-yunus-emlakcidan-daire/detay/32410317,Ara Kat,KARTAL YUNUS DA GENÇ BİNADA SİTE İÇİ KİRALIK DAİRE,1.25,4,100,Emlakçıdan,2+1,Bireysel,09.12.2018
