location,floor,title,price,age,area-m2,owner,room,seller,date
/konut-kiralik/istanbul-sariyer-yenikoy-emlakcidan-daire/detay/32223502,2. Kat,Yeniköy Dostlar Sitesinde 4+1 Kiralık Daire,8.000,35,167,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sisli-mecidiyekoy-emlakcidan-daire/detay/32208664,1. Kat,"ŞİŞLİ ,GÜLBAĞ SON DURAK YAKININDA AİLEYE, ÖĞRENCİYE, ÇALIŞANA Kİ",1.450,20,85,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-bebek-emlakcidan-daire/detay/32111559,Ara Kat,"BEBEK SAHİLDE İÇİ YENİLENMİŞ 3,5+1 190 M2 DENİZ MANZARALI DAİRE",25.000,30,190,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32137726,2. Kat,Beşiktaş  Ortaköy Sitede Kuş Sesleri Doğa İle İçİçe 2+1 Bakımlı ,5.500,22,140,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/31994109,3. Kat,ETİLER KİRALIK BADUR SİTESİ 5+1 ÇATI DUBLEX,16.000,10,284,Emlakçıdan,5+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-muradiye-emlakcidan-daire/detay/32259605,Yarı Bodrum,TEŞVİKİYE\u0027YE YAKIN KALIPÇI SOKAK\u0027DA 130 M2 3+1 KİRALIK DAİRE,3.200,45,130,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32338662,2. Kat,F\u0026C GAYRİMENKUL\u0027DEN ULUS MARMARA SİTESİNDE TEMİZ 3+1,3.750,20,110,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32264520,1. Kat,"ETİLER\u0027 de , Merkezi Konumda Net 185 M2 kiralık DAİRE ",5.800,40,185,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/31020591,4. Kat,GÖKTÜRK TURYAP\u0027TAN  KEMERCORNER\u0027DA KİRALIK 5+1 ÇATI DUBL,5.950,10,230,Emlakçıdan,5+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/32284241,1. Kat,Florya\u0027da Flynn Avm\u0027ye Yakın 4+1 220m2 Ara Kat ŞEBNEM ÖZGÜL\u0027DEN,4.800,19,220,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-pendik-yenisehir-emlakcidan-daire/detay/31774262,6. Kat,SAHRA BİLEN MVK WORK SQUARE DE KİRALIK BALKONLU 2+1 DAİRE,1.650,3,112,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sisli-mecidiyekoy-emlakcidan-daire/detay/32135769,1. Kat,"ŞİŞLİ GÜLBAĞ,DA YENİ BİNADA OTOPARKLI- BALKONLU  KİRALIK DAİRE ",1.400,1,78,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32207603,4. Kat,Point Emlak. SUADİYE\u0027DE 2 YILLIK BİNADA BALKONLU 3+1 KİRALIK,3.100,2,125,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-ulus-emlakcidan-daire/detay/31986176,2. Kat,Beşiktaş Ulus Ortaköy Aktiviteli Sitede 200m2 4+1 bakımlı daire,6.250,20,225,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bagcilar-merkez-emlakcidan-daire/detay/32274979,3. Kat,Bağcılar Devlet Hastahanesine Yakın Site içi 2+1 Kiralık Daire,1.750,1,97,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32270015,4. Kat,NİŞANTAŞI \u0027DA  YEŞİLLİKLER İÇİNDE 200M2  NET OTOPARKLI  KİRALIK,5.150,25,230,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/29541564,4. Kat, NİŞANTAŞI ZAFER SOKAKDA 120 M2 2+1 YÜKSEK TAVANLI FULL BAKIMLI,3.800,40,120,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-silivri-mimarsinan-silivri-emlakcidan-daire/detay/32300079,2. Kat,3+1 Kiralık Masrafsız Daire,1.150,12,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-atasehir-mustafa-kemal-emlakcidan-daire/detay/32156736,5. Kat,BATI ATAŞEHİR KENT PLUS\u0027TA MUHTEŞEM DAİRE,4.350,10,180,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-akat-emlakcidan-daire/detay/31382432,1. Kat,AKATLAR ZEYTİNOĞLU CADDESİ ÜZERİNDE TEMİZ 4+1,4.750,40,165,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-atasehir-atasehir-ataturk-emlakcidan-daire/detay/32215687,6. Kat,ATAŞEHİR METROPOL LÜKS PROJE RECEDENCE A BLOK 1+0 KİRALIK,1.150,0,45,Emlakçıdan,1+0,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sariyer-resitpasa-emlakcidan-daire/detay/32242755,2. Kat,Emirgan Değirmentepe Butik Projede Kiralık Lüks 4+1 Çatı Dubleks,14.000,4,240,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32026988,2. Kat,ORTAKÖY KİRALIK MOBİLYALI ARKHEON SİTESİNDE 4+1 DAİRE,10.500,20,210,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-beyoglu-gumussuyu-emlakcidan-daire/detay/31706085,9. Kat,Gümüşsuyunda muhteşem manzaralı kiralık daire,8.000,85,140,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sariyer-yenikoy-emlakcidan-daire/detay/32253478,1. Kat,Sarıyer Yeniköy de Boğaz manzaralı Kiralık Daire,7.750,30,85,Emlakçıdan,1+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32008226,3. Kat,Göktürk Turyap\u0027tan Arketip 2 Sitesinde 2+1 Çatı Dubleksi,4.250,10,130,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-bebek-emlakcidan-daire/detay/31659644,5. Kat,BEBEK KORU\u0027DA MUHTEŞEM MANZARALI DAİRE,35.000,35,220,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-turkali-emlakcidan-daire/detay/32235051,Yarı Bodrum,BEŞİKTAŞ MERKEZDE 1+1 HOL YARIZEMİNİ KAT  TEMİZ BOŞ KOMBİLİ,1.250,50,75,Emlakçıdan,1+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-zuhtupasa-sahibinden-daire/detay/32118487,Zemin,Sahibinden Ziverbey(Kadıköy)\u0027de 2+1 kiralık daire,1.600,25,100,Sahibinden,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-uskudar-kandilli-emlakcidan-daire/detay/32273242,3. Kat,"Kandilli\u0027de kiralık Boğaz manzaralı, asansörlü, otoparklı daire",15.000,30,170,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kucukcekmece-atakent-emlakcidan-daire/detay/32363193,15. Kat,Orkide  Evleri 1 de Kiralık 3+1 Daire ,2.100,9,132,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sancaktepe-mevlana-emlakcidan-daire/detay/32360766,1. Kat,Sancaktepe Yenidoğan Caddeye Yakın 2+1 Arakat Dubleks Sığınaklı,600,2,90,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-beylikduzu-kavakli-emlakcidan-daire/detay/32349925,3. Kat,HAVUZLU KAPALI OTOPARKLI SİTEDE 7+1 SÜPER LÜKS DUBLEKS DAİRE,3.500,1,300,Emlakçıdan,7+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-erenkoy-emlakcidan-daire/detay/32264391,2. Kat, EMİR\u0027DEN TEK YETKİLİ ERENKÖYDE EBEVEYNLİ KOMBİLİ FERAH,2.750,2,120,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-silivri-yeni-emlakcidan-daire/detay/32364705,Yüksek Giriş,SİLİVRİ YENİ MAH. KİRALIK 3+1 120M2 DAİRE RE/MAX SERTAÇ,1.200,2,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-avcilar-ambarli-emlakcidan-daire/detay/32363544,6. Kat,"PRESTİJ\u0027DEN SİTE İÇİNDE OTOPARKLI,ASANSÖRLÜ,KAPICILI 3+1 DAİRE",1.250,21,115,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-pendik-camlik-emlakcidan-daire/detay/32361511,4. Kat,YAŞAM\u0027DAN SİTE İÇİ ANKASTRELİ E.BANYOLU İKİ BALKONLU KİRALIK 3+1,1.500,0,148,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kartal-orhantepe-emlakcidan-daire/detay/32363969,4. Kat,"DİRECTTEN,ÇİFT WC\u0027Lİ,BARBEKÜLÜ,MARMARAY VE MİNİBÜS CAD. GENİŞ3+1",1.700,16,135,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-beylikduzu-adnan-kahveci-emlakcidan-daire/detay/32364041,9. Kat,Beylikdüzü Adnan Kahvec Kiralık 3+1 Metrobüse Yakın Site İçinde ,1.700,14,175,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-kozyatagi-emlakcidan-daire/detay/32285466,8. Kat,KAPORA ALINMIŞTIR ,3.100,0,130,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-fatih-seyyid-omer-emlakcidan-daire/detay/32363145,1. Kat,Fatih Seyidömer Kücük Hamam Mevkinde 2+1 75 m2 1.Ara Kat Temiz,1.650,28,85,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-bahcelievler-sirinevler-emlakcidan-daire/detay/32316457,3. Kat,"BAŞOKUR\u0027DAN ŞİRİNEVLER DE 2+1, 105 M2, 3. KAT ULTRA LÜKS SIFIR",1.800,0,105,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-konaklar-emlakcidan-daire/detay/32363608,2. Kat,4. LEVENT METRO 5.6.7 dk 1+1 DAİRELER OTOPARKL LÜKS !SIFIR DAİRE,1.900,0,70,Emlakçıdan,1+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kagithane-telsizler-emlakcidan-daire/detay/32362941,1. Kat,VEZİROĞLUNDAN NEF163 YANI METROYA YAKIN 3+1 120M2 LÜX SIFIRDAİRE,1.300,15,120,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32361276,2. Kat,METE\u0027den Etiler Alkent\u0027e Yakın Yeni Binada 2+1 Fırsat Daire,3.750,0,110,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bayrampasa-kartaltepe-emlakcidan-daire/detay/32327772,1. Kat,BAYRAMPAŞA KARTALTEPE MAH KİRALIK 2+1 1.KAT DAİRE,1.300,20,85,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32236853,4. Kat,Göktürk Site İçinde Yeni 4+1 Çatı Dubleks ACCESS,4.600,1,232,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32226305,2. Kat,Göktürk Merkezi Lokasyonda Site İçinde 1+1 Daire ACCESS,2.000,8,85,Emlakçıdan,1+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32360610,7. Kat,Y\u0026M\u0027DEN SUADİYE 2 YILLIK GÜVENLİKLİ HAVUZLU SİTEDE 3+1 BALKONLU,3.400,3,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kucukcekmece-atakent-emlakcidan-daire/detay/32271652,Giriş Katı,MANOLYA EVLERİNDE GİRİŞ KAT GÜNEY DOĞU CEPHELİ BOŞ  ,1.700,9,152,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-gaziosmanpasa-sarigol-emlakcidan-daire/detay/32304453,8. Kat,Haliç Panorama Sitesinde 2+1 113M2 Haliç Manzaralı Kiralık Daire,1.900,2,110,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sisli-halaskargazi-emlakcidan-daire/detay/32332412,2. Kat,"OSMANBEY ANA CADDE,,METRO YA 1 DK FULL EŞYA 1+1 GÜÜVNLİKL 55M2 ",3.250,9,60,Emlakçıdan,1+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-dikilitas-emlakcidan-daire/detay/32361383,Giriş Katı,Dikilitaş Yeni Doğan Sokak\u0027ta 2+1 70 M2 Kombili Düz Giriş Daire,2.000,20,80,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bagcilar-merkez-emlakcidan-daire/detay/32360528,3. Kat,BAĞCILAR MERKEZE YAKIN 3. KAT TERASLI KİRALIK DAİRE,1.300,40,110,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-dikilitas-emlakcidan-daire/detay/32360747,4. Kat,BEŞİKTAŞ DİKİLİTAŞ TA KİRALIK YENİ BİNA BULVARA YAKIN 2+1 DAİRE ,2.850,5,80,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-goztepe-emlakcidan-daire/detay/32302089,3. Kat,GÖZTEPE MASHARBEYDE 3+1 KOMBİLİ YENİ SIFIR DAİRE.,2.900,0,115,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-uskudar-bulgurlu-emlakcidan-daire/detay/32361346,Giriş Katı,Üsküdar  Bulgurlu da Metroya Çok Yakın .Giriş Kat Daire 3+1,1.200,15,110,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bahcelievler-siyavuspasa-emlakcidan-daire/detay/32342093,2. Kat,yayla merkezde tadilat yapılmış daire,1.700,28,85,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-gayrettepe-emlakcidan-daire/detay/32362334,Yüksek Giriş,GAYRETTEPE MERKEZİNDE  \u0027\u0027MUKADDER EMLAK\u0027\u0027,3.250,35,150,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-etiler-emlakcidan-daire/detay/32361613,Giriş Katı,BEŞİKTAŞ ETİLERDE 2+1 90M2 LÜKS METROYA YAKIN TASINMAYA HAZIR,3.250,30,100,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bahcelievler-siyavuspasa-emlakcidan-daire/detay/32365262,Yüksek Giriş,YAYLA MERKEZ YAKINI 1+1 BEKAR MEMURA UYGUN KİRALIK DAİRE,1.350,26,70,Emlakçıdan,1+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bayrampasa-muratpasa-emlakcidan-daire/detay/32259393,3. Kat,KAÇIRILMAZ FIRSAT DAİRESİ140m2   4+1  DUBLEKS ÖNÜ AÇIK PARK ,1.650,3,140,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bahcelievler-siyavuspasa-emlakcidan-daire/detay/32363377,5. Kat,BAHÇELİEVLER YAYLADA SIFIR OTOPARKLI BİNADA 5+1 180M2 DUBLEKS,3.500,0,180,Emlakçıdan,5+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32335544,8. Kat,SUADİYE ELEMENT DEN FERİDE GEÇİDİ CİVARI EBEVENLİ GENİŞ SIFIR ,3.750,0,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-tuzla-postane-emlakcidan-daire/detay/32360563,1. Kat," AYESDEN SAHİLE,PAZARA,OKULLARA YAKIN SIFIR KİRALIK DAİRE",1.750,0,130,Emlakçıdan,3+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-besiktas-cihannuma-emlakcidan-daire/detay/32360551,Bahçe Katı,BEŞİKTAŞ BARBAROS BULVARINDA CADDEDE BAHÇE KULLANIMLI DAİRE,2.000,30,105,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-gungoren-haznedar-emlakcidan-daire/detay/32164060,Teras Katı,Güngören İlk Yuva Cad. 2+1 90m2 Teras Kat Kiralık Daire,1.000,25,95,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-besiktas-konaklar-emlakcidan-daire/detay/32301772,2. Kat,KOYUYEŞİL DEN SIFIR SULTAN SELİM CADDE ÜSTÜ KÖŞE DAİRE 2+1,1.500,0,83,Emlakçıdan,2+1,Kurumsal,22.11.2018
/konut-kiralik/istanbul-uskudar-mimar-sinan-emlakcidan-daire/detay/32350302,3. Kat,BAHAROĞLUNDAN ÜSKÜDAR MERKEZDE DÜZ AYAK ARAKAT 2+1 90M KİRALIK,1.750,20,90,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-bakirkoy-yesilkoy-emlakcidan-daire/detay/32364590,3. Kat,R.E.P GAYRİMENKUL\u0027DEN YEŞİLKÖY\u0027DE GÜVENLİKLİ SİTEDE LÜKS DAİRE,10.000,8,230,Emlakçıdan,4+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-atasehir-barbaros-emlakcidan-daire/detay/32362404,8. Kat,ATAŞEHİR VARYAP MERİDİAN KİRALIK 1+0 BOŞ DAİRE,1.450,6,50,Emlakçıdan,1+0,Kurumsal,01.12.2018
/konut-kiralik/istanbul-maltepe-zumrutevler-emlakcidan-daire/detay/32360366,4. Kat,NISH ADALAR DA SATILIK PEYZAŞ HAVUZ CEPHE KİRALIK 2+1 A TİPİ,2.100,4,123,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-atasehir-kayisdagi-emlakcidan-daire/detay/32363454,3. Kat,KAYIŞDAĞI MAH. ANACADDE ÜZERİ YEDİTEPEYE YAKIN TERASLI 2+1,1.100,4,75,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-atasehir-icerenkoy-emlakcidan-daire/detay/32360675,15. Kat,Eston Çamlıevler Sitesi Yenilenmiş Kiralık 3+1,2.300,20,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-sancaktepe-inonu-emlakcidan-daire/detay/32361640,Yüksek Giriş,Sancaktepe Sarıgazi İnönü Mah. de Kiralık Lüks Daire,950,0,130,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-kadikoy-caddebostan-emlakcidan-daire/detay/32328890,3. Kat,Caddebostan Muhtarlık Yakını Butik Yapıda Kombili Sıfır 2+1,2.650,0,85,Emlakçıdan,2+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-atasehir-kayisdagi-emlakcidan-daire/detay/32363334,Giriş Katı,KAYIŞDAĞI MAH. CADDEYE VE TOPLU TAŞIMAYA ÇOK YAKIN 2+1 DAİRE,1.000,5,75,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-esenyurt-namik-kemal-emlakcidan-daire/detay/32323970,3. Kat,KISKANILMAYA HAZIRMISINIZ.) METROBÜSE 1DK FULL LÜX KİRALIK DAİRE,1.400,0,110,Emlakçıdan,2+1,Kurumsal,01.12.2018
/konut-kiralik/istanbul-uskudar-unalan-emlakcidan-daire/detay/32364473,7. Kat,SÖĞÜT EMLAK - SOYAK GÖZTEPE SİTESİ - ÜST KAT 4+1 145 M2,2.600,28,145,Emlakçıdan,4+1,Bireysel,01.12.2018
/konut-kiralik/istanbul-beyoglu-cihangir-emlakcidan-daire/detay/32340976,1. Kat,Cihangirde Manzaralı Kiralık Daire,7.500,35,130,Emlakçıdan,3+1,Kurumsal,01.12.2018
